date,regime_zone,signal_score
2023-09-01,EUPHORIA,62.3289
2023-09-05,EUPHORIA,30.2696
2023-09-06,RISK-OFF,-8.8906
2023-09-07,RISK-OFF,-71.2806
2023-09-08,EUPHORIA,30.851
2023-09-11,EUPHORIA,63.8295
2023-09-12,RISK-OFF,-30.6939
2023-09-13,EUPHORIA,44.4601
2023-09-14,EUPHORIA,56.79
2023-09-15,NEUTRAL,-3.7132
2023-09-18,RISK-OFF,-20.0682
2023-09-19,RISK-OFF,-27.6201
2023-09-20,EUPHORIA,47.4932
2023-09-21,RISK-OFF,-72.7405
2023-09-22,RISK-OFF,-14.6432
2023-09-25,RISK-OFF,-13.5859
2023-09-26,RISK-OFF,-30.8203
2023-09-27,RISK-OFF,-42.4171
2023-09-28,EUPHORIA,21.0539
2023-09-29,EUPHORIA,25.8847
2023-10-02,RISK-OFF,-14.6685
2023-10-03,RISK-OFF,-113.2245
2023-10-04,CAUTION,-5.2467
2023-10-05,RISK-OFF,-59.1089
2023-10-06,RISK-OFF,-21.1275
2023-10-09,EUPHORIA,20.2138
2023-10-10,EUPHORIA,73.7121
2023-10-11,EUPHORIA,8.2637
2023-10-12,RISK-OFF,-40.0733
2023-10-13,EUPHORIA,26.7207
2023-10-16,EUPHORIA,74.4214
2023-10-17,NEUTRAL,-3.5258
2023-10-18,RISK-OFF,-48.173
2023-10-19,EUPHORIA,26.8338
2023-10-20,CAUTION,-4.426
2023-10-23,RISK-OFF,-9.9634
2023-10-24,EUPHORIA,20.6107
2023-10-25,RISK-OFF,-39.8895
2023-10-26,EUPHORIA,25.3116
2023-10-27,RISK-OFF,-42.8385
2023-10-30,RISK-OFF,-10.0036
2023-10-31,RISK-OFF,-36.4225
2023-11-01,EUPHORIA,106.342
2023-11-02,EUPHORIA,78.661
2023-11-03,EUPHORIA,30.2901
2023-11-06,EUPHORIA,61.5687
2023-11-07,EUPHORIA,48.8278
2023-11-08,RISK-OFF,-11.9643
2023-11-09,EUPHORIA,9.3644
2023-11-10,EUPHORIA,57.2752
2023-11-13,RISK-OFF,-57.8506
2023-11-14,EUPHORIA,109.7475
2023-11-15,NEUTRAL,1.0175
2023-11-16,EUPHORIA,24.358
2023-11-17,EUPHORIA,13.4261
2023-11-20,EUPHORIA,80.6413
2023-11-21,RISK-OFF,-20.1838
2023-11-22,RISK-OFF,-13.2226
